City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nouakchott,MR,18.0858,-15.9785,73.35,29,100,13.51,overcast clouds
1,Yaan,NG,7.3833,8.5667,75.74,22,25,4.52,scattered clouds
2,Potosi,BO,-19.5836,-65.7531,53.11,35,43,2.48,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,21.85,broken clouds
4,Kazerun,IR,29.6195,51.6541,53.94,25,6,4.03,clear sky
5,Hermanus,ZA,-34.4187,19.2345,61.9,89,91,4.92,overcast clouds
6,New Norfolk,AU,-42.7826,147.0587,77.67,28,0,1.99,clear sky
7,Atuona,PF,-9.8,-139.0333,78.98,80,83,17.43,light rain
8,Chokwe,MZ,-24.5333,32.9833,79.18,71,92,2.04,overcast clouds
9,Mehamn,NO,71.0357,27.8492,26.55,94,99,11.63,light snow
10,Pacific Grove,US,36.6177,-121.9166,54.43,81,90,1.01,overcast clouds
11,Nurobod,UZ,40.9056,69.8023,38.25,90,100,1.7,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,6.12,92,100,11.34,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,58.15,53,100,13.87,overcast clouds
14,Ponta Do Sol,PT,32.6667,-17.1,63.72,77,28,0.98,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,42.46,56,75,27.63,broken clouds
16,Honiara,SB,-9.4333,159.95,85.42,76,99,6.93,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,64.09,84,0,4.0,clear sky
18,Klaksvik,FO,62.2266,-6.589,38.32,97,100,15.77,overcast clouds
19,Tigil,RU,57.8,158.6667,19.83,83,100,17.13,overcast clouds
20,Guerrero Negro,MX,27.9769,-114.0611,61.41,65,61,9.24,broken clouds
21,Hilo,US,19.7297,-155.09,78.53,37,75,9.22,broken clouds
22,Clyde River,CA,70.4692,-68.5914,-1.97,92,83,9.22,broken clouds
23,Alofi,NU,-19.0595,-169.9187,80.49,74,4,6.91,clear sky
